"id","name","description","sustento_id:id","type_tax_use","amount_type","amount","sequence","tag_ids:id"
"__export__.account_tax_50207","502 INVENTARIO","OTRAS ADQUISICIONES  IVA 12 | Inventario - costo o gasto para declaración de IR (ST 07)","__export__.l10n_ec_sri_ats_16_sustento_07","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104502"
"__export__.account_tax_50208","502 INTERMEDIARIO","OTRAS ADQUISICIONES  IVA 12 | Valor pagado para reembolso de gasto (intermediario) (ST 08)","__export__.l10n_ec_sri_ats_16_sustento_08","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104502"
"__export__.account_tax_50300","503 CASOS ESPECIALES","IMPORTACIÓN DE SERVICIOS IVA 12 | Casos especiales (ST 00)","__export__.l10n_ec_sri_ats_16_sustento_00","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104503"
"__export__.account_tax_50301","503 BIENES Y SERVICIOS","IMPORTACIÓN DE SERVICIOS IVA 12 | Crédito tributario para declaración de IVA (ST 01)","__export__.l10n_ec_sri_ats_16_sustento_01","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104503"
"__export__.account_tax_50305","503 EMPLEADOS","IMPORTACIÓN DE SERVICIOS IVA 12 | Liquidación gastos de viaje a nombre de empleados (ST 05)","__export__.l10n_ec_sri_ats_16_sustento_05","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104503"
"__export__.account_tax_50308","503 INTERMEDIARIO","IMPORTACIÓN DE SERVICIOS IVA 12 | Valor pagado para reembolso de gasto (intermediario) (ST 08)","__export__.l10n_ec_sri_ats_16_sustento_08","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104503"
"__export__.account_tax_50309","503 GASTOS MÉDICOS","IMPORTACIÓN DE SERVICIOS IVA 12 | Reembolso por siniestros (ST 09)","__export__.l10n_ec_sri_ats_16_sustento_09","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104503"
"__export__.account_tax_50401","504 BIENES Y SERVICIOS","IMPORTACIÓN DE BIENES IVA 12 | Crédito tributario para declaración de IVA (ST 01)","__export__.l10n_ec_sri_ats_16_sustento_01","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104504"
"__export__.account_tax_50406","504 INVENTARIO","IMPORTACIÓN DE BIENES IVA 12 | Inventario - crédito tributario para declaración de IVA (ST 06)","__export__.l10n_ec_sri_ats_16_sustento_06","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104504"
"__export__.account_tax_50503","505 ACTIVOS FIJOS","IMPORTACIÓN DE ACTIVOS FIJOS IVA 12 | Activo Fijo - crédito tributario para declaración de IVA (ST 03)","__export__.l10n_ec_sri_ats_16_sustento_03","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104505"
"__export__.account_tax_50508","505 INTERMEDIARIO","IMPORTACIÓN DE BIENES IVA 12 | Valor pagado para reembolso de gasto (intermediario) (ST 08)","__export__.l10n_ec_sri_ats_16_sustento_08","purchase","percent","12",,"__export__.account_account_tag_104509,__export__.account_account_tag_104505"
"__export__.account_tax_50602","506 COSTO O GASTO","IMPORTACIÓN DE BIENES IVA 0 | Costo o gasto para declaración de IR (ST 02)","__export__.l10n_ec_sri_ats_16_sustento_02","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104506"
"__export__.account_tax_50604","506 ACTIVOS FIJOS","IMPORTACIÓN DE BIENES IVA 0 | Activo Fijo - costo o gasto para declaración de IR (ST 04)","__export__.l10n_ec_sri_ats_16_sustento_04","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104506"
"__export__.account_tax_50700","507 CASOS ESPECIALES","ADQUISICIONES LOCALES IVA 0 | Casos especiales (ST 00)","__export__.l10n_ec_sri_ats_16_sustento_00","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104507"
"__export__.account_tax_50702","507 COSTO O GASTO","ADQUISICIONES LOCALES IVA 0 | Costo o gasto para declaración de IR (ST 02)","__export__.l10n_ec_sri_ats_16_sustento_02","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104507"
"__export__.account_tax_50704","507 ACTIVOS FIJOS","ADQUISICIONES LOCALES IVA 0 | Activo Fijo - costo o gasto para declaración de IR (ST 04)","__export__.l10n_ec_sri_ats_16_sustento_04","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104507"
"__export__.account_tax_50705","507 EMPLEADOS","ADQUISICIONES LOCALES IVA 0 | Liquidación gastos de viaje a nombre de empleados (ST 05)","__export__.l10n_ec_sri_ats_16_sustento_05","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104507"
"__export__.account_tax_50707","507 INVENTARIOS","ADQUISICIONES LOCALES IVA 0 | Inventario - costo o gasto para declaración de IR (ST 07)","__export__.l10n_ec_sri_ats_16_sustento_07","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104507"
"__export__.account_tax_50708","507 INTERMEDIARIO","ADQUISICIONES LOCALES IVA 0 | Valor pagado para reembolso de gasto (intermediario) (ST 08)","__export__.l10n_ec_sri_ats_16_sustento_08","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104507"
"__export__.account_tax_50709","507 GASTOS MÉDICOS","ADQUISICIONES LOCALES IVA 0 | Reembolso por siniestros (ST 09)","__export__.l10n_ec_sri_ats_16_sustento_09","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104507"
"__export__.account_tax_50800","508 CASOS ESPECIALES","RISE | Casos especiales (ST 00)","__export__.l10n_ec_sri_ats_16_sustento_00","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104508"
"__export__.account_tax_50802","508 COSTO O GASTO","RISE | Costo o gasto para declaración de IR (ST 02)","__export__.l10n_ec_sri_ats_16_sustento_02","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104508"
"__export__.account_tax_50804","508 ACTIVOS FIJOS","RISE | Activo Fijo - costo o gasto para declaración de IR (ST 04)","__export__.l10n_ec_sri_ats_16_sustento_04","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104508"
"__export__.account_tax_50805","508 EMPLEADOS","RISE | Liquidación gastos de viaje a nombre de empleados (ST 05)","__export__.l10n_ec_sri_ats_16_sustento_05","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104508"
"__export__.account_tax_50807","508 INVENTARIO","RISE | Inventario - costo o gasto para declaración de IR (ST 07)","__export__.l10n_ec_sri_ats_16_sustento_07","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104508"
"__export__.account_tax_50808","508 INTERMEDIARIO","RISE | Valor pagado para reembolso de gasto (intermediario) (ST 08)","__export__.l10n_ec_sri_ats_16_sustento_08","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104508"
"__export__.account_tax_53100","531 CASOS ESPECIALES","ADQUISICIONES NO OBJETO DE IVA | Casos especiales (ST 00)","__export__.l10n_ec_sri_ats_16_sustento_00","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104531"
"__export__.account_tax_53102","531 COSTO O GASTO","ADQUISICIONES NO OBJETO DE IVA | Costo o gasto para declaración de IR (ST 02)","__export__.l10n_ec_sri_ats_16_sustento_02","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104531"
"__export__.account_tax_53104","531 ACTIVOS FIJOS","ADQUISICIONES NO OBJETO DE IVA | Activo Fijo - costo o gasto para declaración de IR (ST 04)","__export__.l10n_ec_sri_ats_16_sustento_04","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104531"
"__export__.account_tax_53105","531 EMPLEADOS","ADQUISICIONES NO OBJETO DE IVA | Liquidación gastos de viaje a nombre de empleados (ST 05)","__export__.l10n_ec_sri_ats_16_sustento_05","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104531"
"__export__.account_tax_53107","531 INVENTARIO","ADQUISICIONES NO OBJETO DE IVA | Inventario - costo o gasto para declaración de IR (ST 07)","__export__.l10n_ec_sri_ats_16_sustento_07","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104531"
"__export__.account_tax_53108","531 INTERMEDIARIO","ADQUISICIONES NO OBJETO DE IVA | Valor pagado para reembolso de gasto (intermediario) (ST 08)","__export__.l10n_ec_sri_ats_16_sustento_08","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104531"
"__export__.account_tax_53200","532 CASOS ESPECIALES","ADQUISICIONES EXCENTAS DE IVA | Casos especiales (ST 00)","__export__.l10n_ec_sri_ats_16_sustento_00","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104532"
"__export__.account_tax_53202","532 COSTO O GASTO","ADQUISICIONES EXCENTAS DE IVA | Costo o gasto para declaración de IR (ST 02)","__export__.l10n_ec_sri_ats_16_sustento_02","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104532"
"__export__.account_tax_53204","532 ACTIVOS FIJOS","ADQUISICIONES EXCENTAS DE IVA | Activo Fijo - costo o gasto para declaración de IR (ST 04)","__export__.l10n_ec_sri_ats_16_sustento_04","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104532"
"__export__.account_tax_53205","532 EMPLEADOS","ADQUISICIONES EXCENTAS DE IVA | Liquidación gastos de viaje a nombre de empleados (ST 05)","__export__.l10n_ec_sri_ats_16_sustento_05","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104532"
"__export__.account_tax_53207","532 INVENTARIO","ADQUISICIONES EXCENTAS DE IVA | Inventario - costo o gasto para declaración de IR (ST 07)","__export__.l10n_ec_sri_ats_16_sustento_07","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104532"
"__export__.account_tax_53208","532 INTERMEDIARIO","ADQUISICIONES EXCENTAS DE IVA | Valor pagado para reembolso de gasto (intermediario) (ST 08)","__export__.l10n_ec_sri_ats_16_sustento_08","purchase","percent",,,"__export__.account_account_tag_104509,__export__.account_account_tag_104532"
